family,config,proxy_score,proxy_Q_A,proxy_Q_B,S,Q_A,Q_B,Q_C,I_A,I_B,I_C,binding_A,binding_B,binding_C,expansion
GroupDRO,"eta=10,warm=0.5",60.792497778785616,0.6377027502778069,0.5795376897110226,37.859895631361,0.39611970343087566,0.3972553424269896,0.3448593819506879,0.9054456055164337,0.8948166072368622,0.8630678653717041,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
GroupDRO,"eta=10,warm=0.3",59.105344445098396,0.6449517325513178,0.5416594088606089,37.83185993431971,0.40630644709584035,0.3870486733394543,0.34431328714016085,0.9044365584850311,0.8947740793228149,0.8598595708608627,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
EQRM,"coef=4.472,warm=0.3",58.601462543443695,0.6806008106388773,0.5045735118956188,37.7683876175358,0.37389508529759713,0.4116553271012283,0.35002723506921934,0.9074666798114777,0.900292694568634,0.8629058301448822,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
IRM,"lam=10000,warm=0.1",52.13514914999976,0.48270424848524796,0.5630929881852466,37.741683527870414,0.4379475898383919,0.3676488208730363,0.3338939023280503,0.8108601868152618,0.6344901025295258,0.49925512075424194,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.9, 1.0, 1.0)",False
GroupDRO,"eta=0.1,warm=0.3",56.213822817455586,0.5685040545615186,0.5558436831535988,37.558739692766885,0.3931259086180007,0.38945884111946827,0.3460507530492763,0.9052210748195648,0.8886795789003372,0.8556831032037735,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
GroupDRO,"eta=1,warm=0.5",60.31584276752552,0.6394534395857213,0.5689234999054488,37.3413157885506,0.38614104873251553,0.3899889260020195,0.3457566997490966,0.906960666179657,0.8979704976081848,0.858567088842392,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
GroupDRO,"eta=100,warm=0.8",60.14190026923683,0.5962178801631711,0.6066654973522306,37.26043426089202,0.3992205980433267,0.37303723365415775,0.34735904636323034,0.9049485921859741,0.8873059302568436,0.8426554203033447,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",True
SD,"lam=1,warm=0.5",47.46552824716245,0.49406820064751117,0.45600513630091805,37.17023249951952,0.450452962704315,0.3591979887518403,0.3173967598062253,0.9015474617481232,0.9061591476202011,0.8541376143693924,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
EQRM,"coef=4.472,warm=0.1",58.187824191295675,0.6609063196876737,0.5122999710030284,37.1355224498243,0.3710167465243569,0.4028897482799684,0.34260120439217895,0.9082182049751282,0.9005385041236877,0.8664259165525436,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
GroupDRO,"eta=0.1,warm=0.5",54.39590655610116,0.5530340658761185,0.5350329812635621,37.02556067849631,0.3843334174912312,0.38698919711803115,0.3412698659470227,0.9057331085205078,0.8983431160449982,0.857456162571907,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
GroupDRO,"eta=100,warm=0.1",57.99869265702466,0.6189636380755131,0.5434646145584434,37.024446843431264,0.2694388748525814,0.4411513147205923,0.42699019473407807,0.44515351951122284,0.8717256933450699,0.8286140561103821,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
GroupDRO,"eta=10,warm=0.1",59.17344927269378,0.6143239601487828,0.5699756685348946,36.9147595704333,0.40062514431046103,0.37592898593236856,0.33400742091428626,0.9054546058177948,0.8909762501716614,0.8514361381530762,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
SD,"lam=0.001,warm=0.8",46.64047971734683,0.4727693095651284,0.4601259650854235,35.80694355596925,0.37778268283691235,0.36131373372549214,0.33633745907948787,0.906978651881218,0.9061676412820816,0.8698740005493164,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",True
SD,"lam=1,warm=0.3",47.836581246552974,0.49945696222875763,0.45816530320183535,35.80340750111825,0.39169011372594725,0.3597289409600679,0.3257280019902332,0.9044875800609589,0.9061591476202011,0.8570795804262161,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
SD,"lam=0.0001,warm=0.3",46.5121733915034,0.47113636736512693,0.4591838846362444,35.79341579458556,0.37714894757328077,0.3603611178569293,0.3374105134234257,0.9062271118164062,0.9066762924194336,0.8698805123567581,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",True
ERM,(none),46.716181744522366,0.47393385567847796,0.4604865448286966,35.7890639165252,0.3772806712719753,0.3607875708999343,0.3367711609823065,0.906975656747818,0.9061676412820816,0.8693739175796509,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
SD,"lam=0.001,warm=0.65",46.53025994383337,0.47103413804360955,0.4596408021365656,35.755183991606756,0.37674110216093065,0.36131373372549214,0.3358068709485329,0.9067301452159882,0.9061676412820816,0.8699000179767609,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",True
SD,"lam=0.001,warm=0.5",46.546567635019166,0.4708673543774437,0.4601259650854235,35.72594049791358,0.3782485245851859,0.36025987319667385,0.3346246093711165,0.906978651881218,0.9061676412820816,0.8693804293870926,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
SD,"lam=0.001,warm=0.1",46.71989242274424,0.4748813286041281,0.4596408021365656,35.725270272961446,0.3741718443664672,0.3607875708999343,0.33775664088917245,0.9064846336841583,0.9061676412820816,0.8688998371362686,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
SD,"lam=0.001,warm=0.3",46.79814658777283,0.4764442016612415,0.4596690475851024,35.72329163628958,0.3748346923768937,0.36026155886803146,0.3375955424474403,0.9072271585464478,0.9061761349439621,0.870880663394928,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
SD,"lam=0.0001,warm=0.5",46.60520859256118,0.47205453131793895,0.4601259650854235,35.7132624560724,0.3772401855131501,0.36026714931762155,0.33515520108445296,0.9067301452159882,0.9061676412820816,0.8693544119596481,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",True
SD,"lam=0.01,warm=0.5",46.42464662505713,0.47087263143748004,0.4577135451006969,35.64991526779151,0.3734976634497875,0.3607387771760193,0.33627515987172585,0.9079756885766983,0.9059218168258667,0.872393935918808,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
SD,"lam=0.001,warm=0",46.64390114881628,0.473496879975807,0.45948634645527303,35.63462833585378,0.37540308761867197,0.3608380366068931,0.3340462103790528,0.9074756503105164,0.906421959400177,0.8663929402828217,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",True
